Event ID,Timestamp,Target Timestamp,Proton Intensity,e0.5_tminus24,e0.5_tminus23,e0.5_tminus22,e0.5_tminus21,e0.5_tminus20,e0.5_tminus19,e0.5_tminus18,e0.5_tminus17,e0.5_tminus16,e0.5_tminus15,e0.5_tminus14,e0.5_tminus13,e0.5_tminus12,e0.5_tminus11,e0.5_tminus10,e0.5_tminus9,e0.5_tminus8,e0.5_tminus7,e0.5_tminus6,e0.5_tminus5,e0.5_tminus4,e0.5_tminus3,e0.5_tminus2,e0.5_tminus1,e0.5_t,e0.5_max_intensity,e1.8_tminus24,e1.8_tminus23,e1.8_tminus22,e1.8_tminus21,e1.8_tminus20,e1.8_tminus19,e1.8_tminus18,e1.8_tminus17,e1.8_tminus16,e1.8_tminus15,e1.8_tminus14,e1.8_tminus13,e1.8_tminus12,e1.8_tminus11,e1.8_tminus10,e1.8_tminus9,e1.8_tminus8,e1.8_tminus7,e1.8_tminus6,e1.8_tminus5,e1.8_tminus4,e1.8_tminus3,e1.8_tminus2,e1.8_tminus1,e1.8_t,e1.8_max_intensity,e4.4_tminus24,e4.4_tminus23,e4.4_tminus22,e4.4_tminus21,e4.4_tminus20,e4.4_tminus19,e4.4_tminus18,e4.4_tminus17,e4.4_tminus16,e4.4_tminus15,e4.4_tminus14,e4.4_tminus13,e4.4_tminus12,e4.4_tminus11,e4.4_tminus10,e4.4_tminus9,e4.4_tminus8,e4.4_tminus7,e4.4_tminus6,e4.4_tminus5,e4.4_tminus4,e4.4_tminus3,e4.4_tminus2,e4.4_tminus1,e4.4_t,e4.4_max_intensity,p_tminus24,p_tminus23,p_tminus22,p_tminus21,p_tminus20,p_tminus19,p_tminus18,p_tminus17,p_tminus16,p_tminus15,p_tminus14,p_tminus13,p_tminus12,p_tminus11,p_tminus10,p_tminus9,p_tminus8,p_tminus7,p_tminus6,p_tminus5,p_tminus4,p_tminus3,p_tminus2,p_tminus1,p_t,p_max_intensity,Sunspot Number,cme_donki_time,CME_DONKI_latitude,CME_DONKI_longitude,CME_DONKI_speed,CME_CDAW_MPA,CME_CDAW_LinearSpeed,VlogV,DONKI_half_width,Accelaration,2nd_order_speed_final,2nd_order_speed_20R,CPA,Halo,Type2_Viz_Area,solar_wind_speed,diffusive_shock,half_richardson_value,CMEs Past Month,CMEs Past 9 Hours,CMEs Speed > 1000,Max CME Speed
5,2011-08-03 15:15:00,2011-08-03 15:45:00,0.0378464,31.5506,31.0762,31.0168,30.424,28.4074,28.111,27.3102,28.5558,33.241,48.3042,58.3568,74.7548,89.9074,108.234,126.558,144.766,148.976,160.718,163.328,169.732,184.084,187.88,195.234,204.25,217.178,217.178,0.133632,0.117336,0.12141,0.1116338,0.122225,0.134446,0.1287464,0.125482,0.1108192,0.150744,0.153188,0.167854,0.196376,0.231414,0.259118,0.286006,0.308824,0.34549,0.358528,0.348748,0.40742,0.430234,0.415566,0.455492,0.477494,0.477494,0.00601072,0.00475848,0.0052594,0.00601072,0.00525938,0.00500894,0.00676214,0.009016,0.00726296,0.00651154,0.0042576,0.00450802,0.00425758,0.00475848,0.00601072,0.00626116,0.0047585,0.00550982,0.0042576,0.0060107,0.00475848,0.00576024,0.00450802,0.00525936,0.00475848,0.009016,0.0168292,0.0152064,0.0146782,0.0170556,0.0147536,0.0142634,0.0137728,0.0149802,0.0132446,0.013999,0.0143764,0.0135462,0.0144142,0.0152442,0.0132068,0.0136218,0.0137728,0.0139614,0.0141124,0.0128292,0.0131688,0.0118858,0.0137728,0.0124522,0.0141122,0.0170556,81.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,10,1,1,1320
5,2011-08-03 15:20:00,2011-08-03 15:50:00,0.0452048,31.0762,31.0168,30.424,28.4074,28.111,27.3102,28.5558,33.241,48.3042,58.3568,74.7548,89.9074,108.234,126.558,144.766,148.976,160.718,163.328,169.732,184.084,187.88,195.234,204.25,217.178,218.722,218.722,0.117336,0.12141,0.1116338,0.122225,0.134446,0.1287464,0.125482,0.1108192,0.150744,0.153188,0.167854,0.196376,0.231414,0.259118,0.286006,0.308824,0.34549,0.358528,0.348748,0.40742,0.430234,0.415566,0.455492,0.477494,0.514162,0.514162,0.00475848,0.0052594,0.00601072,0.00525938,0.00500894,0.00676214,0.009016,0.00726296,0.00651154,0.0042576,0.00450802,0.00425758,0.00475848,0.00601072,0.00626116,0.0047585,0.00550982,0.0042576,0.0060107,0.00475848,0.00576024,0.00450802,0.00525936,0.00475848,0.00550982,0.009016,0.0152064,0.0146782,0.0170556,0.0147536,0.0142634,0.0137728,0.0149802,0.0132446,0.013999,0.0143764,0.0135462,0.0144142,0.0152442,0.0132068,0.0136218,0.0137728,0.0139614,0.0141124,0.0128292,0.0131688,0.0118858,0.0137728,0.0124522,0.0141122,0.0145274,0.0170556,81.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,10,1,1,1320
5,2011-08-03 15:25:00,2011-08-03 15:55:00,0.0544116,31.0168,30.424,28.4074,28.111,27.3102,28.5558,33.241,48.3042,58.3568,74.7548,89.9074,108.234,126.558,144.766,148.976,160.718,163.328,169.732,184.084,187.88,195.234,204.25,217.178,218.722,225.718,225.718,0.12141,0.1116338,0.122225,0.134446,0.1287464,0.125482,0.1108192,0.150744,0.153188,0.167854,0.196376,0.231414,0.259118,0.286006,0.308824,0.34549,0.358528,0.348748,0.40742,0.430234,0.415566,0.455492,0.477494,0.514162,0.534536,0.534536,0.0052594,0.00601072,0.00525938,0.00500894,0.00676214,0.009016,0.00726296,0.00651154,0.0042576,0.00450802,0.00425758,0.00475848,0.00601072,0.00626116,0.0047585,0.00550982,0.0042576,0.0060107,0.00475848,0.00576024,0.00450802,0.00525936,0.00475848,0.00550982,0.0060107,0.009016,0.0146782,0.0170556,0.0147536,0.0142634,0.0137728,0.0149802,0.0132446,0.013999,0.0143764,0.0135462,0.0144142,0.0152442,0.0132068,0.0136218,0.0137728,0.0139614,0.0141124,0.0128292,0.0131688,0.0118858,0.0137728,0.0124522,0.0141122,0.0145274,0.0186026,0.0186026,81.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,10,1,1,1320
5,2011-08-03 15:30:00,2011-08-03 16:00:00,0.0554306,30.424,28.4074,28.111,27.3102,28.5558,33.241,48.3042,58.3568,74.7548,89.9074,108.234,126.558,144.766,148.976,160.718,163.328,169.732,184.084,187.88,195.234,204.25,217.178,218.722,225.718,231.886,231.886,0.1116338,0.122225,0.134446,0.1287464,0.125482,0.1108192,0.150744,0.153188,0.167854,0.196376,0.231414,0.259118,0.286006,0.308824,0.34549,0.358528,0.348748,0.40742,0.430234,0.415566,0.455492,0.477494,0.514162,0.534536,0.523938,0.534536,0.00601072,0.00525938,0.00500894,0.00676214,0.009016,0.00726296,0.00651154,0.0042576,0.00450802,0.00425758,0.00475848,0.00601072,0.00626116,0.0047585,0.00550982,0.0042576,0.0060107,0.00475848,0.00576024,0.00450802,0.00525936,0.00475848,0.00550982,0.0060107,0.00576026,0.009016,0.0170556,0.0147536,0.0142634,0.0137728,0.0149802,0.0132446,0.013999,0.0143764,0.0135462,0.0144142,0.0152442,0.0132068,0.0136218,0.0137728,0.0139614,0.0141124,0.0128292,0.0131688,0.0118858,0.0137728,0.0124522,0.0141122,0.0145274,0.0186026,0.022074,0.022074,81.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,10,1,1,1320
5,2011-08-03 15:35:00,2011-08-03 16:05:00,0.056902,28.4074,28.111,27.3102,28.5558,33.241,48.3042,58.3568,74.7548,89.9074,108.234,126.558,144.766,148.976,160.718,163.328,169.732,184.084,187.88,195.234,204.25,217.178,218.722,225.718,231.886,237.34,237.34,0.122225,0.134446,0.1287464,0.125482,0.1108192,0.150744,0.153188,0.167854,0.196376,0.231414,0.259118,0.286006,0.308824,0.34549,0.358528,0.348748,0.40742,0.430234,0.415566,0.455492,0.477494,0.514162,0.534536,0.523938,0.506016,0.534536,0.00525938,0.00500894,0.00676214,0.009016,0.00726296,0.00651154,0.0042576,0.00450802,0.00425758,0.00475848,0.00601072,0.00626116,0.0047585,0.00550982,0.0042576,0.0060107,0.00475848,0.00576024,0.00450802,0.00525936,0.00475848,0.00550982,0.0060107,0.00576026,0.00450804,0.009016,0.0147536,0.0142634,0.0137728,0.0149802,0.0132446,0.013999,0.0143764,0.0135462,0.0144142,0.0152442,0.0132068,0.0136218,0.0137728,0.0139614,0.0141124,0.0128292,0.0131688,0.0118858,0.0137728,0.0124522,0.0141122,0.0145274,0.0186026,0.022074,0.0261492,0.0261492,81.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,10,1,1,1320
5,2011-08-03 15:40:00,2011-08-03 16:10:00,0.0563738,28.111,27.3102,28.5558,33.241,48.3042,58.3568,74.7548,89.9074,108.234,126.558,144.766,148.976,160.718,163.328,169.732,184.084,187.88,195.234,204.25,217.178,218.722,225.718,231.886,237.34,237.34,237.34,0.134446,0.1287464,0.125482,0.1108192,0.150744,0.153188,0.167854,0.196376,0.231414,0.259118,0.286006,0.308824,0.34549,0.358528,0.348748,0.40742,0.430234,0.415566,0.455492,0.477494,0.514162,0.534536,0.523938,0.506016,0.533718,0.534536,0.00500894,0.00676214,0.009016,0.00726296,0.00651154,0.0042576,0.00450802,0.00425758,0.00475848,0.00601072,0.00626116,0.0047585,0.00550982,0.0042576,0.0060107,0.00475848,0.00576024,0.00450802,0.00525936,0.00475848,0.00550982,0.0060107,0.00576026,0.00450804,0.00626118,0.009016,0.0142634,0.0137728,0.0149802,0.0132446,0.013999,0.0143764,0.0135462,0.0144142,0.0152442,0.0132068,0.0136218,0.0137728,0.0139614,0.0141124,0.0128292,0.0131688,0.0118858,0.0137728,0.0124522,0.0141122,0.0145274,0.0186026,0.022074,0.0261492,0.031809,0.031809,81.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,10,1,1,1320
5,2011-08-03 15:45:00,2011-08-03 16:15:00,0.0550154,27.3102,28.5558,33.241,48.3042,58.3568,74.7548,89.9074,108.234,126.558,144.766,148.976,160.718,163.328,169.732,184.084,187.88,195.234,204.25,217.178,218.722,225.718,231.886,237.34,237.34,237.46,237.46,0.1287464,0.125482,0.1108192,0.150744,0.153188,0.167854,0.196376,0.231414,0.259118,0.286006,0.308824,0.34549,0.358528,0.348748,0.40742,0.430234,0.415566,0.455492,0.477494,0.514162,0.534536,0.523938,0.506016,0.533718,0.517422,0.534536,0.00676214,0.009016,0.00726296,0.00651154,0.0042576,0.00450802,0.00425758,0.00475848,0.00601072,0.00626116,0.0047585,0.00550982,0.0042576,0.0060107,0.00475848,0.00576024,0.00450802,0.00525936,0.00475848,0.00550982,0.0060107,0.00576026,0.00450804,0.00626118,0.00576028,0.009016,0.0137728,0.0149802,0.0132446,0.013999,0.0143764,0.0135462,0.0144142,0.0152442,0.0132068,0.0136218,0.0137728,0.0139614,0.0141124,0.0128292,0.0131688,0.0118858,0.0137728,0.0124522,0.0141122,0.0145274,0.0186026,0.022074,0.0261492,0.031809,0.0378464,0.0378464,81.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,10,1,1,1320
5,2011-08-03 15:50:00,2011-08-03 16:20:00,0.054789,28.5558,33.241,48.3042,58.3568,74.7548,89.9074,108.234,126.558,144.766,148.976,160.718,163.328,169.732,184.084,187.88,195.234,204.25,217.178,218.722,225.718,231.886,237.34,237.34,237.46,232.24,237.46,0.125482,0.1108192,0.150744,0.153188,0.167854,0.196376,0.231414,0.259118,0.286006,0.308824,0.34549,0.358528,0.348748,0.40742,0.430234,0.415566,0.455492,0.477494,0.514162,0.534536,0.523938,0.506016,0.533718,0.517422,0.540236,0.540236,0.009016,0.00726296,0.00651154,0.0042576,0.00450802,0.00425758,0.00475848,0.00601072,0.00626116,0.0047585,0.00550982,0.0042576,0.0060107,0.00475848,0.00576024,0.00450802,0.00525936,0.00475848,0.00550982,0.0060107,0.00576026,0.00450804,0.00626118,0.00576028,0.00525942,0.009016,0.0149802,0.0132446,0.013999,0.0143764,0.0135462,0.0144142,0.0152442,0.0132068,0.0136218,0.0137728,0.0139614,0.0141124,0.0128292,0.0131688,0.0118858,0.0137728,0.0124522,0.0141122,0.0145274,0.0186026,0.022074,0.0261492,0.031809,0.0378464,0.0452048,0.0452048,81.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,10,1,1,1320
5,2011-08-03 15:55:00,2011-08-03 16:25:00,0.047846,33.241,48.3042,58.3568,74.7548,89.9074,108.234,126.558,144.766,148.976,160.718,163.328,169.732,184.084,187.88,195.234,204.25,217.178,218.722,225.718,231.886,237.34,237.34,237.46,232.24,224.768,237.46,0.1108192,0.150744,0.153188,0.167854,0.196376,0.231414,0.259118,0.286006,0.308824,0.34549,0.358528,0.348748,0.40742,0.430234,0.415566,0.455492,0.477494,0.514162,0.534536,0.523938,0.506016,0.533718,0.517422,0.540236,0.542682,0.542682,0.00726296,0.00651154,0.0042576,0.00450802,0.00425758,0.00475848,0.00601072,0.00626116,0.0047585,0.00550982,0.0042576,0.0060107,0.00475848,0.00576024,0.00450802,0.00525936,0.00475848,0.00550982,0.0060107,0.00576026,0.00450804,0.00626118,0.00576028,0.00525942,0.00400714,0.00726296,0.0132446,0.013999,0.0143764,0.0135462,0.0144142,0.0152442,0.0132068,0.0136218,0.0137728,0.0139614,0.0141124,0.0128292,0.0131688,0.0118858,0.0137728,0.0124522,0.0141122,0.0145274,0.0186026,0.022074,0.0261492,0.031809,0.0378464,0.0452048,0.0544116,0.0544116,81.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,10,1,1,1320
5,2011-08-03 16:00:00,2011-08-03 16:30:00,0.0482236,48.3042,58.3568,74.7548,89.9074,108.234,126.558,144.766,148.976,160.718,163.328,169.732,184.084,187.88,195.234,204.25,217.178,218.722,225.718,231.886,237.34,237.34,237.46,232.24,224.768,227.022,237.46,0.150744,0.153188,0.167854,0.196376,0.231414,0.259118,0.286006,0.308824,0.34549,0.358528,0.348748,0.40742,0.430234,0.415566,0.455492,0.477494,0.514162,0.534536,0.523938,0.506016,0.533718,0.517422,0.540236,0.542682,0.521498,0.542682,0.00651154,0.0042576,0.00450802,0.00425758,0.00475848,0.00601072,0.00626116,0.0047585,0.00550982,0.0042576,0.0060107,0.00475848,0.00576024,0.00450802,0.00525936,0.00475848,0.00550982,0.0060107,0.00576026,0.00450804,0.00626118,0.00576028,0.00525942,0.00400714,0.00676206,0.00676206,0.013999,0.0143764,0.0135462,0.0144142,0.0152442,0.0132068,0.0136218,0.0137728,0.0139614,0.0141124,0.0128292,0.0131688,0.0118858,0.0137728,0.0124522,0.0141122,0.0145274,0.0186026,0.022074,0.0261492,0.031809,0.0378464,0.0452048,0.0544116,0.0554306,0.0554306,81.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,10,1,1,1320
